Event Name,Event Type,Subtitle,Tags,Photos Folder,Photos,Cover Photo,Video Link,Reel Links,Description
Tamil Video Song,Acting,Lead Actress · Tamil,"Acting, Tamil",tamil-video-song,,,,,"Female lead for the video song. | Portrayed happiness & sadness simultaneously — a girl yearning for her lover. | Strong emotional expression: love, longing & inner conflict."
Kannada Rap Song,Dance,Dance · ft. Ragini Dwivedi,"Dance, Kannada",kannada-rap-song,,,,,Featured performing dance in the music video. | High-energy performance & strong screen presence.
The Weaving Couture,Modelling,Saree Modelling,"Photoshoot, Ethnic Wear",weaving-couture,,,,,Modelled sarees for The Weaving Couture's collection shoot. | Styled across traditional drapes and prints for brand photography.
VEA — Gold & Diamonds,Modelling,Jewellery Modelling,"Photoshoot, Jewellery",vea-jewellery-modelling,,,,,Modelled gold and diamond jewellery pieces for VEA's product photography. | Styled shots highlighting collection detail and craft.
VEA — Gold & Diamond Jewellery,Presenting,Jewellery,"Reel/Video, English",vea-jewellery-presenting,,,,,"Prepared jewellery content for reel videos with jewellery explanations. | Presented brand messages, collection stories & campaign lines. | Emphasised offers & unique collections for marketing, all on camera in Kannada & English."
ICL Government Services,Presenting,Government · Dubai,"Reel/Video, English",icl-government-dubai,,,,,"Video content presentation for the company situated at Madina Mall, Dubai. | Clear, engaging on-screen communication for a public audience."
Lifestone Natural Stone Murals,Presenting,Natural Stone · Murals,"Reel/Video, English, Hindi, Kannada",lifestone-murals,,,,,"Presented premium natural stone mural collection details on camera. | Explained design features, craftsmanship & installation benefits. | Delivered on-camera promotional content in English, Kannada & Hindi."
Homn Living Studio,Presenting,Interior Design,"Reel/Video, Promotional",homn-living-studio,,,,,"Delivered prepared scripts for brand presentations & interior showcases. | Narrated design concepts with clarity & confidence on camera. | Engaged social audience on styling, renovation & décor."
Kaveri Water Tanks,Presenting,Home & Utility,"Reel/Video, Promotional",kaveri-water-tanks,,,,,"On-camera product features & benefits, short-form video in Kannada and English. | Promotional reels driving brand visibility."
Vaibhav Furnitures,Presenting,Furniture · Salon,"Reel/Video, Kannada",vaibhav-furnitures,,,,,"Translated English scripts to natural, fluent Kannada and presented it on-camera. | Presented salon chairs, trolleys, shampoo stations."
Kannada Rap Song — Launch,Hosting,Promo & Hosting,"Reel/Video, Live Event",kannada-rap-launch,,,,,Created promotional reels for the song launch. | Hosted the launch event featuring Ragini Dwivedi.
ICL FinCorp Launch,Hosting,Fintech · Patna,"Live Event, Hindi",icl-fincorp-launch,,,,,"On-camera presenter, Hindi promotional & informational content. | Launch event attended by Union Minister Jitan Ram Manjhi."
